               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045862,            0.066561,            0.018215,             0.69296,             0.67466,             0.72167,             0.47184,            0.040765,            0.036767,           0.0095991,              0.0007,              0.0007,              0.0937
                   1,            0.045337,            0.062923,            0.016953,             0.75442,             0.64063,             0.73373,             0.48534,            0.040291,            0.036398,           0.0087863,            0.001005,            0.001005,            0.086005
                   2,            0.044077,            0.063138,            0.015638,             0.75904,             0.64923,             0.73635,             0.48499,             0.04007,            0.036139,           0.0084469,            0.000782,            0.000782,            0.077782
